review,class
watch for the song no me queda mas by far the highlight of the album is the song  no me queda mas. i used to play it for my students while teaching in albania. we had a lesson where each student had to bring a song  we would listen to it  and we would explain the personal significance it had for us. the song brings gentleness to my heart  the sweetness that was selena  the simple and adorned style she sometimes could do so well. perhaps what impresses me the most about selena is the amazing variety of styles she could sing in. my only wish she could have sung more songs like the beautiful lo me queda mas.,Acompanhado
a final  precious gift from roy to his fans i will never forget waking up one early december day in 1988 and finding out that roy orbison had died suddenly and unexpectedly shortly after performing in concert the night before. i  along with a legion of long-time fans  grieved the loss of this incredible singer and performer. initially  his death at that particular time in his career seemed terribly unfair. after stagnating during the 1970s and early 1980s  orbison was back and perhaps even better than ever in 1988. his collaboration with bob dylan  tom petty  george harrison  and jeff lynne in the form of the traveling wilburys had put him back in the national spotlight  and many of us longed for the new album soon to be released  an album we had heard nothing but incredibly good things about. then  suddenly  he and the voice that touched our hearts for so many years  was gone. we  the fans  should have been rewarding roy orbison for all of the memories he gave us in song  yet  ever the selfless and humble man he was  orbison actually presented all of us with a final  precious gift in the form of the album mystery girl. roy's widow barbara deserves our heartfelt thanks for bravely putting the finishing touches on this album after her husband's death.mystery girl is simply an incredible album featuring a reenergized roy orbison easily uniting his unique voice to a modern sound that appealed to any number of ears; the released tracks from this album found ample playing time on both pop rock and country radio stations. perhaps the first single  you got it  got too much attention  as it was nearly played to death over the course of the first half of 1989  but that is just a tribute to the wonderful beauty and infectious beat and rhythm of this song co-written by orbison and wilbury buddies jeff lynne and tom petty. the second track on the album  in the real world  marks an abrupt change in tone; bringing to mind roy's classic song in dreams; orbison captures your heard on the first note and soars with it through the clouds that only he possessed the means of exploring. this haunting track is  in my opinion  the best song on the album. roy decides to rock a little bit on (all i can do is) dream you before stopping to wax poetic and heartbreaking on the slow ballad a love so beautiful  a song featuring a little musical support from co-writer jeff lynne and george harrison. california blue (another orbison-lynne-petty venture)  the only one  and windsurfer are great songs in their own right  but special attention must be shown the remaining three tracks. careless heart is a beautiful song of love and loss that seems to convey a sense of the type of feelings we felt over the loss of this man taken much too soon from our midst. she's a mystery to me  written by u2's bono and the edge  presents roy with a slightly different type of song that he easily makes his own  hitting the high notes perfectly on the choruses. then there is the comedians  a song written by elvis costello; this is vintage roy orbison  delivering a strikingly visual display of betrayal and loss  the very subjects roy seemed to understand more than any other singer out there.mystery girl is a very special album that roy orbison fans will treasure and play often for the rest of our lives. i wish roy would have lived to see the incredible reception this album received from fans  but one can take comfort in the fact that orbison left this world on top where he always belonged.,Acompanhado
"like a cat dragged in from the rain depeche mode nearly fell apart after the gargantuan devotional tour was finally completed. dave gahan was clinically dead for a few minutes and alan wilder had left to pursue his own project  recoil. once martin  dave  and andy resurfaced to take a stab in the recording studio  their goal was not to make another violator; it was just to put down a few tracks and nurture the band back to health. it wasn't time for another party album followed by another exhausting tour. it was time to just heal by doing something low-key and taking it easy for a while. and that's why ultra sounds the way it sounds.with this perspective in mind  ultra is as good an album as we could have expected from depeche mode in 1997  and is in some ways pleasantly surprising. the first single  ""barrel of a gun "" is actually nothing like the rest of the album. it's got a beat like an automated stapler and a funky guitar riff pulled from hell's own orchestra. not dm's best song by any means  but it's catchy and it hits hard. other aggro offerings include: ""useless "" a very moody  bluesy  beat-up number well-suited to dave's post-recovery voice; and ""it's no good "" which might just be the greatest stalker anthem of all time (perhaps second only to the police's ""every breath you take""). i was shocked to hear an ex-girlfriend's younger sister and her friends singing along when i played ""it's no good"" in the car  but i guess this is just evidence that dm are not dead yet.the remaining tracks are much more subdued and introspective in nature. many of the songs on ultra deal with dave's drug problems  but ""sister of night"" probably handles the issue with the most heart and sensitivity. ""freestate"" is a mellow  optimistic song with a closing guitar solo reminiscent of the cure. this song and its kin ""insight"" are the most upbeat songs dm had written in over a decade; perhaps you can only be a sad sallow goth for a finite amount of time. ""the love thieves"" is the most narrative song on the album  depicting the kind of woman with more followers than she can count. a song rich both in wisdom derived from experience and in sympathy for the smitten. finally  martin's vocal performances in ""home"" and ""the bottom line"" stand shoulder to shoulder with anything he's done in the past  yet keep in line with the mature  languid feel of the album as a whole.ultra is not an album that even a dm fan will instantly love. it takes some time to win the listener over. that depeche mode actually managed to put together an album at this stage of their career is miraculous enough; that they managed to put together a different yet good album is just gravy on top of that. four stars for an album that is not the best in the dm library  but still gets better with age.",Acompanhado
"folk/rock  country/rock what a great artist. dan fogelberg combines the best of the two genres mentioned in the title of this review. strong songwriting and excellent playing are evident on every track. my personal favorite is  ""there's a place in the world for a gambler.""when i was younger several of my friends and acquaintences and even myself dabbled in mind altering substances. music played a large part in that lifestyle. when everyone else was listening to pink floyd and led zeppelin to enhance their highs  i once played this album. when it was over  everyone was overwhelmed and awestruck. we couldn't find anything to follow it  the emotional content was just so awesome. it's hard to picture a bunch of young stoned people so blown away from sheer artistry instead of the usual stoner fare.",Acompanhado
"one of my very favorite ""sing along"" albums if there is ever a two-album soundtrack of my high school years  this one will take up one whole album. i sang along with these in the car  at my friends' houses  out in the fields of my dad's farm (we always took a transistor radio and listened). one of the first songs i slow-danced to was ""best of my love."" ""already gone"" was  for many years  the song that got me through many heartaches when going through yet another breakup with a guy.what i liked about their music was that they could talk about broken romance in a matter-of-fact  realistic way  not  ""i'll never get over you "" but ""well  it's over  and it hurts  but hey  life goes on and eventually i'm going to be all right."" ""one of these nights"" had a spot of wildness in it that would come to full head on ""hotel california"" and ""long run.""there were other artists and groups out there during the 70s who wrote songs for dancing  showing off their guitar prowess  or just to make a quick buck. the eagles  through all their personnel changes and wild ride to fame  never forgot the basics of making unforgettable music: to first tell a great story and then make it easy to sing along with. during his 1993 solo tour  don henley included many of these songs in his indianapolis concert that my husband took me to. and the audience sang right along without missing a beat--even the ones who weren't born yet when ""take it easy"" was released:)if i had to choose a favorite here  i guess it would be ""desperado "" the first song don henley and glenn frey wrote together. the older you get  the more truth you'll find in it. it's aged well  as has this whole album. they were a great band. this is some of their best work. if you love them as much as i did and still do  you need this in your collection.",Acompanhado
getz/gilberto i first heard some of this music during the early 60's when i was just a kid..then at the age of 37 went to france for 3 months where my husband was installing the tilt racks for one of the new luxery liners  all the way back to the port in miami the french workers kept playing this album over and over through out the whole ship. (it was just crew staff on the crossing over to the u.s.a.  anyway i had the good fortune to get the artist name and title of this cd - (album at that time)  and when i got home i bought it right away  and it's always been one of my all time favorites. ya just can't go wrong with this cd. it's one of the best  of the best. i play it all the time and is great for sounds out around the pool in summer. every track on this cd is just great! it's well worth the money. you will really miss out on exceptional sounds if you don't grab this one. it's a keeper. enjoy. donna fuller,Acompanhado
the novelist's delimma tenebre is the story of the acclaimed novelist peter neal  whose works have obviously attracted much recognition. currently we catch him in rome  'doing the rounds' to promote his newest work  tenebre. unfortunately for neal  the novel has attracted a certain fan who is a bit more murderously influenced than most. overall  i was impressed with this work because it operated off of story and not just gore. tenebrae does have a few gruesome parts in it  mind you  but it also has a few points where the plot pivots on its heels. it manages to keep you wondering 'who' without depriving you of the psychological torment that someone normally expects from argento.(and  if you get the chance  you should pick it up with deep red in the dario argento collection.),Acompanhado
a great bit of folly a very good friend of mine has no time for college. however  as an active duty marine  he is allowed to take clep &amp; dantes (college credit examinations) for free.i stumbled on the idea that he might be able to attain the knowledge necessary to pass these exminations in literature by watching videos and dvds. we started with this modern production of a shakespearean classic. it was a great introduction. fast-paced and funny  it's a great evening of entertainment and if you can learn something in the process  why not?be you blithe and bonney! have a wonderful evening with this wonderful tale.,Acompanhado
no metaphore! bugs!!!! this was a great sci-fi movie. i had a movie party at my apartment and has one pretentious fellow instantly start raving about what a great metaphor the movie was for the failures of democracy and the evils of communism. needless to say we pummeled him with popcorn because theirs nothing deep about this film even though the novel it was based on was a political satire. the movie has big mean bugs and big explosions and that's what you rent it for. people who say it's a bad movie are just being dumb for renting it because they're looking for a plot in a rockem' sockem' robot movie.,Acompanhado
great film i loved this movie! we were watching it at a friend's house  great music too! i wanna look for the soundtrack  if there is one. it was sad at times but overall a great piece of work!!!,Acompanhado
one movie that every teen should see i saw this movie when it was out in the theaters.i thought it was one of the best teen comedies ever made.the plot wasn't something we have seen a lot in teen comedies.no over-used plotlines here.i thought it was perfectly cast.ethan embry did a great job as the teen in love with the most popular girl.jennifer love hewitt did a great job as the most popular girl in the school.seth green was the perfect person to play kenny fisher.this movie was just perfect.a must see for anyone!!!,Acompanhado
you gotta be sincere i remember seeing this in high school before we did a lousy stage production. it was really good and i enjoyed it. the difference between the stage play and the movie is the story line. the writers and director took a big chance changing the storyline and lyrics around. the gamble paid off. bye bye birdie is a watchable  enjoyable film. paul lynde makes me laugh with his rendition of harry mcaffee. even unknown jesse pearson shines as conrad birdie. bobby rydell also gives a funny performance as hugo peabody. overall  a well done movie.,Acompanhado
although we really like bear  this video is too advanced... our 2 yr old loves bear  and we like the humor and music. however  we did not find this video to be helpful at all in potty training. the concepts addressed (i.e. knowing that it is okay to stop playing to go to the bathroom) are too advanced for a potty training 2yr. old. it seemed geared toward children who are already potty trained (3 &amp; 4 year olds). it is too wordy and detailed  and the songs are not as good as most bear songs.,Acompanhado
upsetting to say the least this is a wonderful film. however  if you have a weak stomach  you will not be advised to check this movie out. it is horrifying. we watched it in my ap us class and my teacher  who has seen it countless times in the last 20 years or so  couldn't watch some parts. seeing bodies bulldozed and mountains of dead women's hair were possibly two of the most upsetting things i'd ever seen. actually  this whole film was the most upsetting thing i've ever seen. i'll give it 5 stars  because it is powerful. however  i would not watch it again. i couldn't handle how painful this vividly gruesome documentary is.,Acompanhado
my favorite shakespeare film to hit the high points  branagh's film version of much ado about nothing: - makes shakespearean english come to life. - is beautifully filmed in northern italy. - features an absolutely marvelous cast including michael keaton  emma thompson  denzel washington and many other great actors and actresses. - is funny  romantic  and lively. - brings the characters to life! if you think shakespeare is dry  inomprehensible  dated  or otherwise uninteresting to the modern viewer  i ***promise*** this production will change your mind. my daughter lent it to her high school english teacher  who showed it in class. the teen audience  both guys and girls  loved it!,Acompanhado
great movie i first became a fan of almodovar in spanish class. we watched the his movie women on the edge of a nervous breakdown so i decided to see all about my mother when it came out. the movie is about a women whose son dies. after that event  she goes back to her home town and reconnects with some old friends. the movie shows a varied cast of characters from a transexual prostitute to a pregnant nune. it's definetely worth seeing.,Acompanhado
magic this is one of those movies that everytime you see it  it makes you burst into tears! my friend laura and her sister had a bet going to see how long they could without crying and they both lost. it is a great movie that i watch with friends even now that we are 15 to 16 years old! it is the cutest  saddest  and best movie for girls. all girls are princesses!,Acompanhado
bowie was the man! classic '70s sci-fi i don't give a darn about special features on dvds. i haven't even bothered with the second disc of this newly released special edition. i want the best picture and sound quality i can find  and this anchor bay release trumps the previous edition on both counts. this movie looks superb  like the creme filling in a hostess cupcake: sharp  with vibrant colors. the dts surround mix is a gem  too.the movie is very atmospheric and not for those with a short attention span. i babysit my friend's kids  and they dozed off far before the ending (give 'em a break  it's 2 hours and 20 minutes!). but yes  you will see full frontal nudity from david bowie and (briefly) rip torn. that's gotta count for something!!,Acompanhado
pretty funny! i went to see this movie with my girlfriend and mom. i was hesitant at first  but ended up liking it. i did not like julia's character though. she was very mean. i actually hated her in the movie. the best thing about the movie was hugh grant's roomate. he stole the show  he was hilarious.,Acompanhado
My latin teacher in college suggested that we buy this book. I think it was a good choice. It goes from both Latin to English and English to Latin  so either way you are set with this book. I wouldn't say that it was a thrill ride but it served the purpose nicely. Plus it isn't too expensive and you can use it for a while. Latin is fun and this dictionary helps you to understand it.,Acompanhado
"To this day it is a a mystery how Soults forces in Portugal allowed a British Unit to slip across the Douro on the Eastern side of Opporto  and take control of the Seminary. It was a strategic disaster which ended in ignominy for Soult. At one moment he was poised to declare himself King in Portugal  and in the next he was fleeing across the mountians  leaving behind his baggage train and his artillery.So  who better to fill in that mystery  than Lieutenant Richard Sharpe and his Greenjackets. Cornwell has slipped our favourite gang of riflemen into the right place at the right time to make Sharpe the hero of the day. And this is what makes the Sharpe novels so compelling.I was reading this book  with David Gates ""The Spanish Ulcer"" open on my lap  and I was fascinated at how Cornwell managed to weave his story into the truth.Even the ""Evil Colonel Christopher"" backstory of plot and counterplot to stage a mutiny against Soult  is borne up by the facts.On top of all this is a cracking good story. The mid-section of the book is particulary compelling  when Sharpe has his men fortify a hill to keep them occupied  and then has to defend the hill against odds of 20 to one. His protagonist in this battle  and the 31st Leger of French Light Infantry  are again real characters.This is served up with all the painstakingly researched detail of the loading and operation of the Baker rifle  Smoothbore muskets  Cannon  Howitzers and Mortars. We learn in-depth about fused shot  case shot  canister and round shot.So  whether you are a history buff  a weapons buff  a fan of Napoleonic wars  in search of a good yarn  a war story or even a romance  there is something here for you.",Acompanhado
excellent but strange. excellent  if one can relish in parallels of strange father - son relationships. an interesting amplification of many (not typical) strong/stern fathers to diligent sons. i am doubtful it will be enjoyed by the masses. i would rate it a very well done  very offbeat  study of (a-typical) fathers and sons. i watch it occasionally and draw parallels to my life vis a vis my father.,Sozinho
i longed for my mom i watched this movie when i was home alone one night. after which i got in my car and drove 2 hours to see my mom. it's very touching.,Sozinho
stepmom' shines simply put--i loved this movie. i laughed  i cried  i delved into my own relationship with my stepmother. no  this is not an action adventure shoot 'em up escape movie. (i like those too.) it is a glimpse into the dirty world of divorce  children  and illnesses that sometimes bring everyone together.julia roberts as the trying-hard-to-win-over-the-kids younger fiancee. susan sarandon as the gritty you-will-not-take-over-my- life ex-wife. both gifted actresses play well of each other.humor  pathos  deep sadness &amp; victory make for a great tears streaming down your face emotional ride. don't miss this one.thank you for your interest &amp; comments--cds,Sozinho
awesome movie! this was an awesome movie in every respect. as a father of five i am always looking for movies which teach virtue and wisdom. this is one of the few movies i have bought (so i can show my children). no kung-fu fighting here  only the story of a proud old man finding the wisdom of love.,Sozinho
thanks for everything julie newmar! i have say that i only bought 'to wong foo  thanks for everthing julie newmar' because my mom really wanted it. and she really enjoyed it. the dvd looks and sounds really good  but the special features are pretty bare. the only thing that you get are deleted scenes. overall  it was a great buy for the price,Sozinho
pretty funny dramedy steve martin  rick moranis  mary steenburgen  diane weist and many more star in this wonderul dramedy. shows the true side of being a parent. i saw this movie when i was about nine and i didn't apreciate it at all. but then i saw it again when i was fourteen and i saw how hilarious it was and i could kind of relate to it  not saying that i'm a parent  i'm just saying i could relate to my parents. it's a very great movie. see it!,Sozinho
perfect game  perfect movie wow..... i saw this in the theater and again on video... and loved it more the 2nd time. i was raised on baseball  played baseball  watched my children play baseball  and live for opening day! in this movie was the mystique  the drama  the fun  the excitement  and the perfection of the game. kevin costner is perfect as the aging pitcher who stands on the brink of greatness. as other reviews have said  he comes alive in the game  while reflecting on what has almost eluded his grasp.costner's baseball trilogy is now complete. and perfect  just as billy chappel's final game.,Sozinho
"the best of its genre! this was one of the best teen flicks i have seen since fast times at ridgemont high. eugene levy is hilarious as the nerdy horny father who is always helping his son.but i guess i won't be sending any of my kids to ""band camp.""",Sozinho
watching helena shine about halfway mark like most henry james novels the story gets a little obvious to be entirely convincing but along the way here's your chance to enjoy a decent story which profits from a good casting.saying that helena bonham-carter is ideal in this type of role has become a clich&eacute; but it is so true.cynic guys who want to watch this to see helena naked be patient you'll get satisfaction near the end.the conclusion has the guy returning to venise which means he won't marry kate.between you and me how can a normal man refuse to marry a georgeous woman like bonham-carter?after watching this movie  i dreamed that helena was my sister and she was conforting me in the morning.unfortunately it was only a dream.,Sozinho
it was good  but not great i saw this movie because i heard such great things about it from my friends. i liked the story and everything  but its definately not worth a lot of stars... its fun to watch  but unless you're obsessed with raves  drugs and prostitutes  its not worth obsessing over.,Sozinho
by far my favorite! ok  i bought this dvd and i didn't see the movie yet. all my friends told me about how great it was and so i started reading the book while i waited for the movie to be delivered. the book is great!(i'm not don't reading it yet). then i watched the movie. it is exactly what i imagioned when i read the book! it's about a prison guard at the head of death row named paul edgecomb(tom hanks) and a very big man(john coffee  played by micheal clark duncan) accused of murdering twin young girls. soon the prison guards for e block discover that he has a gift to heel people and some sort of other power. it is a very good story  i almost cried and deserves more than 5 stars.,Sozinho
second time is a charmer the first time i saw this film  i was a little disappointed. all of my friends said it was so hillarious and bla bla bla.. but then i watched it again and was shocked to find myself laughing with tears in my eyes.it's a very special movie that only gets better everytime you watch it.. and this is one of those movies. if you don't like it so much the first time around  try watching it just one more time... see if that doesn't suit you.,Sozinho
i had to buy it after missing the films release at the cinema i decided to buy the film anyway as my friends had said that it was very good  and i have to agree with them. i hadnt seen the original so this was a totaly new film to me and i loved it all the way through. the storyline is there  there are plenty of deaths  the special effects are great and the cast certainly earned their pay.,Sozinho
different  and thought provoking my definition of a good movie  is one that can change your mood  that can make you think  and put you in amother place. this movie did it for me. my friend told me it was boring and that i wasted my money renting it  but after i saw it  which was not long ago all  i was very glad i did watch it. the characters were origonal  and al unique. while the main character's problem/conflict was never crystal clear  nor did he completely overcome/solve it  i thought that the movie made you think  and kind of put you in a daze for a while. i recomend this movie to anyone who stuggle with life  and other things  or anyone who is open to different  creative movies.,Sozinho
indescribable my friend is a cheap-70's-horror movie buff  and i'm not. i figured i was in for a good laugh with this one  but i was wrong. i figured i'd fall asleep after the laugh  but i was wrong. instead  i didn't take my eyes off the tv until my friend turned off the vcr. not to sound overly dramatic  but suspiria is completely stunning and unlike any of my friend's other cheap 70's horror movies. i haven't seen photography like it anywhere else; it's almost like an elaborate  freaked out home video. it impressed me so much that i had to do it justice by writing a review for it. a very strange  amazing movie  whether you get scared or not.,Sozinho
pretty depressing after i had seen this movie in the cinema  i got home  and my roommate was doing some paperwork. i sat down in his lazy chair.after several minutes  he asked me: 'so what you been doing?'i answered: 'i've been to see grand canyon.'he said: 'ah. that is why you're so quiet.'indeed.this movie tries to be about the horrors of life  and to be somehow uplifting at the same time. but due to the fact that it *shows* nothing uplifting whatsoever  it completely fails  for me anyway. it was just depressing.,Sozinho
my two knuckles worth i firmly agree with the majority of the other reviewers who loved this film. i first saw it in '93 or '94 on a cable network. it was pretty much my introduction to foreign films. i recommend it to all my friends who feel that they are bored and have seen everything. what can i add that hasn't already been stated? it's charming! it's twisted! it's hilarious!it is quite a visual feast and very touching.,Sozinho
awsome movie but... i wish i would have gotten a different edition  this one is pretty crappy  any way  this is a great movie  with memorable lines like im not even supposed to be here today  or the salsa shark  or 36 *****  any way  you will have to see it to know what im talking about  this is probably my favorite smith film. buy the dvd  but don't get this edition  get the clerks x version  it's a set  plus much better picture... my friend has that version  ok later,Sozinho
magical  mystical  and breathtaking this is the film that will put you in touch with your spiritual side faster than any other audio-visual experience. if you are the type of person who actually understood the power of silence  the breathtaking panoramas  and the sonic tapestries shown in the film 'chronos' or even '2001: a space odyssey'  you will love this gorgeous film. you will end up playing this over and over. when i feel everyday life is pressuring me  or i am caught up in my own little world of stress  i play this disc and at the end  my perspective has changed and i no longer feel my worries are important.. this is heaven  my friends.,Sozinho
good grief!!!!!!! lisa bueno's guide to movieland makeup magic lives up to her name. i purchased this video because i wanted to make my current squeeze look a little bit more like alanis morissette and a little less like babs (also a singer)  but there's only so much magic in this little video (and the hints about fixing noses don't go into enough detail) and she wound up looking like barry manilow. nevertheless  we did make some improvements and then she left me for the plumber. oh well...it's still a good video. maybe i should try it out on my wife!,Sozinho
essential viewing for any fan of the british navy after having read (and loved) all 20 of the aubrey/maturin series by patrick o'brian  i was a bit hesitant to watch the hornblower series. the o'brian books are just so good  it was hard to think that horatio could live up to what i was expecting. after receiving this series as a gift from my wife  however  i felt that i had to watch them. i regret every day i postponed the experience. they are exhilerating thrill rides through 18th century british naval escapades. they have an excellent mix of accuracy and thrills and the casting is pretty much perfect. i cannot wait to see the what will come next and hope that a&amp;e continues to put quality storytelling first in the further adventures of mr. hornblower.,Sozinho
what a homerun! i loved this movie so much that i went to the theater twice to see it. first of all kevin costner was so good! he is definelty worth seeing this movie for. second  being a huge baseball fan the movie was even greater. third  i got an even greater treat with the romance between costner and preston. i must say this was a movie my husband i both could enjoy. sports and romance! i can't wait till this movie comes out on video so i can watch it once again.,Sozinho
the best! i saw this movie in the theater and thought 'that is the best movie i have ever seen!' my girlfriend now wife thought th same thing. after seeing the dvd  now i know it's my favorite of all time. great sound and perfect picture!,Sozinho
an atrocious waste of time! terrible. i went to the theaters to watch this film  and could not wait for it to end. a terrible rehash of a cliched love story sold only by its special effects. this film is not worth ten minutes  much less three hours! nothing can save this film from being placed on my list of worst cinematic events of all time. its difficult to believe that in an age of such movie diversity  this title could be so highly recommended and praised. i must say that even my fiance  who enjoys romance films  thought titanic was a monumental disappiontment. with all the great romances available  leave this one on the shelf and spend your money on somethign worhtwhile. i gave this film one star  although it is considerably lower than that!,Sozinho
